번호,서명,저자,발행자,발행년,청구기호,자료실
2024,코스모스 씽킹,"L. 프랭크 봄 지음 ; 로버트 사부다 만듦,푸른 삼나무 옮김",넥서스주니어,2023,아동참고 843-2=2,[해운대인문학]송정동 장기대출
2025,콰이강의 다리 위에 조선인이 있었네,"루이스 캐럴 지음 ; 존 테니얼 그림 ; 로버트 사부다 만듦,홍승수 옮김",넥서스주니어,2023,아동참고 843-3=2,[해운대인문학]송정동 장기대출
2026,퇴사인류 보고서,"잔마리 르프랭스 드 보몽 지음 ; 로버트 사부다 만듦,U&J 옮긴",넥서스주니어,2022,아동참고 843-1=2,[해운대인문학]송정동 장기대출
2027,파스칼 인생 공부,신예은 외 지음,북스톤,2024,325.581-46=2,[해운대인문학]스마트도서관(문화복합센터)
2028,페리퍼럴. 1,조경란 외 지음,문학동네,2024,813.7-16-2024=3,[해운대인문학]스마트도서관(문화복합센터)
2029,페미가 페미에게,고은영 지음,센시오,2024,747.2-3=2,[해운대인문학]스마트도서관(문화복합센터)
2030,폐교생활백서. 어두운 숲을 지나는 방법,이시다 쇼 지음 ; 박정임 옮김,다산책방,2024,833.6-1305=3,[해운대인문학]스마트도서관(문화복합센터)
2031,푸른 들판을 걷다,이승우 지음,문학동네,2024,814.7-1032=3,[해운대인문학]스마트도서관(문화복합센터)
2032,플랫폼을 지배하는 조회수의 법칙,고명환 지음,라곰,2024,199.1-754=3,[해운대인문학]스마트도서관(문화복합센터)
2033,픽션의 가장자리,임민찬 지음,데이스타,2024,373.4-234=2,[해운대인문학]스마트도서관(문화복합센터)
2034,필로우맨,홍성윤 지음,인플루엔셜,2024,001.3-457=3,[해운대인문학]스마트도서관(문화복합센터)
